raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Weird Al,153,11,189,88.21139037,4.411016043
Teenage Milhouse,153,33,185,99.83497326,0.486155674
Marshall Goldman,151,27,195,91.90686289,1.829521707
Coach,151,34,187,97.55766946,0.755303857
Bailiff,151,21,212,80.76050773,3.781173132
Chief Magistrate,151,19,215,78.31146741,4.310798188
Miss Lois Pennycandy,151,21,207,83.56183223,3.390444655
Prosecutor,151,20,204,84.87771026,3.296221854
Drunk Homer,151,14,181,94.47955298,2.760799432
Actor,151,28,194,92.66985927,1.673479186
Editor,151,29,192,93.97913907,1.444663165
Ballet Teacher,150,27,186,96.29211111,1.208666667
T.R. Francis,150,23,193,91.36343478,2.136144928
Conductor,150,25,225,73.845,4.45
Therapist,150,25,202,86.817,2.640666667
